@,image,title,value,suit1,suit2,suit3,suit1b,suit2b,suit3b,suit1[style:fill],suit2[style:fill],suit3[style:fill],suit1b[style:fill],suit2b[style:fill],suit3b[style:fill],description
nborder,,|the DARKNESS,9,C,E,,c,e,,#000000,#000000,#000000,#8cb8e6,#51bf49,,"The Darkness can settle on familiar places and hides all manner of things. Although one may hide there or seek for what is lost there, it is best not to tarry there too long. Unlike the Cave, it is sometimes best to illuminate and dispel the Darkness rather than to flee from it. "
border,E:\decktet\img\the bard.png,the BARD,*,B,,,b,,,#000000,#000000,#000000,#f68312,,,"The Bard speaks and people listen. Whereas the Painter can paint the world as it is, things become the way the Bard says they ought to be. "
border,E:\decktet\img\the huntress.png,the HUNTRESS,*,A,,,a,,,#000000,#000000,#000000,#c8c7c8,,,"The Huntress finds her mark, like an arrow loosed from a bow. She is a seeker, even if she is unsure what she is seeking, and she is on a quest even in her idle moments. The Huntress stands in the natural world, like a tree in the forest. In some ways, she acts just like an animal; she moves without reflection, in accord with her nature. "
border,E:\decktet\img\the sea.png,|the SEA,*,C,,,c,,,#000000,#000000,#000000,#8cb8e6,,,"The Sea is often literally some large body of water. As a symbol, it is the source of storms. "
border,E:\decktet\img\the end.png,|^the END,*,D,,,d,,,#000000,#000000,#000000,#b6804e,,,"The End can appear as either a location or an event. As an event, the End is the conclusion of the cycle before the beginnings of the next moment are even buds on the branches. As a location, the End is a terminus at the border of known lands with nothing on the other side. "
border,E:\decktet\img\the calamity.png,^the CALAMITY,*,E,,,e,,,#000000,#000000,#000000,#51bf49,,,"Death so sudden that there is no time to bury the dead. Although it can be mitigated by other cards in the spread, the Calamity is always a bad thing. "
border,E:\decktet\img\the windfall.png,^the WINDFALL,*,F,,,f,,,#000000,#000000,#000000,#ebf04b,,,"One might have quested for it, if one had known, but it comes unannounced. The Windfall on its own is always a positive card. If there is any cost or caveat, it must come from somewhere else. "
border,E:\decktet\img\the watchman.png,the WATCHMAN,#,A,E,F,a,e,f,#000000,#000000,#000000,#c8c7c8,#51bf49,#ebf04b,"Waits for danger to arise and responds, but he may be too late if the he is not perceptive or lucky enough. "
border,E:\decktet\img\the borderland.png,|the BORDERLAND,#,C,D,E,c,d,e,#000000,#000000,#000000,#8cb8e6,#b6804e,#51bf49,"The edge of things. A place of chance and uncertainty, harbouring threats and resources in equal measure. "
border,E:\decktet\img\the harvest.png,^the HARVEST,#,A,B,D,a,b,d,#000000,#000000,#000000,#c8c7c8,#f68312,#b6804e,"Things come together. What was reaped may be sown. Patience is rewarded. Unlike the Windfall, the Harvest requires preparation and demands labour. "
border,E:\decktet\img\the light keeper.png,the LIGHT KEEPER,#,B,C,F,b,c,f,#000000,#000000,#000000,#f68312,#8cb8e6,#ebf04b,"Averts danger. Unlike the reactive Watchman, the Light Keeper prepares for the worst in an attempt to create conditions under which danger is overcome even before it arises. "
border,E:\decktet\img\the excuse.png,the EXCUSE,,,,,,,,,,,,,,"Beginners are advised to leave the Excuse out of the deck when telling fortunes. Although some practitioners include it and assign it a special role, there is disagreement about what that role ought to be. Some interpret it as an event. Others interpret it not as being about an excuse, but rather as the deck excusing itself: The matter is too unsettled to say anything helpful, or the question is posed in such an awkward way that saying anything would be misleading. "
